8.936311003266080661e+03,3.218737329931744284e+02
8.564448670662028235e+03,2.716991415829494940e+02
9.600355809227343343e+03,2.756549173871796938e+02
1.230607160512728797e+03,5.540026788923671575e+01
1.155764479864613349e+03,1.185536182778533885e+02
9.629971778205772353e+02,9.100025432726700103e+01
9.002413947224971707e+03,3.129834585450936402e+02
9.785056629560986039e+03,2.950222266588378375e+02
9.044540811883822244e+03,3.151938623970041249e+02
1.205384287879958038e+03,6.977216924316209656e+01
1.073218645233460848e+03,7.472650057472229435e+01
8.649491501836466341e+03,2.608383753158426543e+02
9.348130790498313218e+03,3.019027888713090420e+02
8.040439040644854686e+03,3.087173450502982064e+02
9.083946028994751032e+02,8.055412289274774196e+01
9.123728754591165853e+02,7.062878148688200497e+01
8.220537037469932784e+02,9.655723370140066208e+01
8.635242458025597443e+03,2.968546966524972390e+02
1.237924453605825192e+03,7.738622259603420162e+01
8.288214814987972204e+03,2.954096449352009017e+02
8.560203045171609119e+03,2.966958089471853555e+02
8.574975698518472200e+03,3.317234187684646827e+02
1.003979845980424761e+04,3.414958633589313308e+02
1.046554886546042871e+04,2.908815596157195955e+02
7.845426403819730695e+03,2.761222804641612356e+02
1.047568924384724369e+03,1.112959328153796861e+02
7.914880760910949903e+03,3.149411131019829782e+02
8.739009552638157402e+03,3.178919541152002921e+02
9.246193299662049867e+02,1.311656834837530425e+02
1.008924490011626403e+04,2.996120482807506846e+02
9.286006202533892065e+03,3.152636729211998272e+02
7.911580244581366514e+02,7.828845831520622767e+01
1.366387216365107179e+03,9.316116971178969663e+01
7.386015321838361842e+02,9.975481895863769921e+01
1.150090666065368168e+03,1.078449670678112682e+02
9.003166075190079937e+03,3.203452868650234109e+02
1.406921512300986706e+03,9.810698224429634706e+01
8.448625617528197836e+03,2.863015652950554113e+02
7.854247511152858351e+03,2.984091882613177518e+02
9.336445729894383021e+02,1.033358621416817300e+02
9.621008338353649378e+02,1.047605196391160121e+02
7.859913338863414083e+02,1.003332089205908630e+02
7.601097601612137851e+02,1.065380087877236548e+02
9.538176644567729454e+03,2.926907601464674826e+02
8.310218122791615315e+03,3.340724797624141047e+02
8.105345402995651057e+03,2.973039737602001082e+02
1.134544161141932136e+03,9.451807010985059776e+01
8.014052388868059097e+03,3.085935287172521839e+02
1.085646574119348088e+03,9.654572982359337630e+01
1.036903738112788460e+03,9.641930696027981185e+01
8.851988711282308941e+03,2.880003391030226680e+02
8.315128523497404558e+02,8.354242023040265508e+01
7.763363507489127642e+02,9.797798032015008118e+01
8.337654108507304045e+03,3.053997447726217729e+02
9.653163208815429243e+03,3.190455125216378178e+02
7.790953814675413014e+02,7.962245594860300457e+01
1.137378013227680867e+03,9.675909819995108307e+01
1.044235933844279998e+03,1.019864170172316022e+02
5.025696929554461008e+02,1.236425008647880901e+02
7.287201902277374757e+02,1.112058348264872052e+02
8.937439246296180499e+02,1.237925640763485262e+02
