weight-(g),wingspan-(cm),species
7600.187621556242,265.90697588478076,1
9274.144322662001,277.27477986345275,1
9922.428642050916,240.5336905189823,1
8798.051170782888,300.6663455627773,1
9785.056629560986,295.02222665883784,1
9411.375073115505,290.996471299767,1
9176.94373537712,302.64855602297547,1
8143.965335545366,300.44427856078784,1
8848.40333534146,306.34735951882135,1
9204.001155418706,284.95171644549924,1
8633.5784115979,274.072163856997,1
9348.130790498313,301.90278887130904,1
8533.123959741868,291.5256980011316,1
9653.477657348623,276.2803287014165,1
9538.17664456773,292.6907601464675,1
8916.471085287498,274.5795391830668,1
8574.975698518472,331.7234187684647,1
9823.786148106678,313.8678131703318,1
8649.491501836466,260.83837531584265,1
8105.345402995651,297.3039737602001,1
10295.185328540207,269.1876795089477,1
10233.284139610725,340.93427936964275,1
8798.49668862943,272.0600131009343,1
8326.051409398962,278.05656030720354,1
9147.614952451155,295.2257426137064,1
9749.665760887161,271.41866203103416,1
9584.800275067846,318.9800955301052,1
10089.244900116264,299.6120482807507,1
8739.009552638157,317.8919541152003,1
9044.540811883822,315.1938623970041,1
9177.919686844243,270.0455923783366,1
7845.426403819731,276.12228046416124,1
8394.918155524452,325.92525172798116,1
9653.16320881543,319.0455125216378,1
9600.355809227343,275.6549173871797,1
8635.242458025597,296.85469665249724,1
9951.6978144233,269.84829679471227,1
7647.506538893116,302.15768261613226,1
7914.88076091095,314.941113101983,1
8014.052388868059,308.5935287172522,1
8564.448670662028,271.6991415829495,1
8465.462610549257,287.18480153978857,1
9005.851650583123,315.5925260732739,1
8509.64901161747,291.23758167302316,1
10039.798459804248,341.49586335893133,1
7613.523501077375,293.1340463563506,1
8213.351920696296,287.6674125663361,1
9286.006202533892,315.2636729211998,1
7709.13719774226,303.85834383646613,1
10176.571093289704,293.0308213869526,1
8049.585922145825,345.9730788142735,1
8560.20304517161,296.69580894718536,1
8247.963070764185,309.3259873671438,1
8337.654108507304,305.3997447726218,1
9087.090774266944,293.6033790576382,1
9406.247672393856,277.04516800246824,1
8310.218122791615,334.0724797624141,1
9999.575794181583,285.5569845988849,1
8936.31100326608,321.87373299317443,1
8288.214814987972,295.4096449352009,1
8294.561288413586,299.8220267341578,1
9014.911159590449,289.1360398318566,1
9190.275697538897,315.06124375383956,1
9010.83883890289,267.8112220765409,1
7691.576480495342,338.8652452686799,1
8164.632097832547,271.0512777536083,1
9490.431105350037,302.60496910705405,1
9588.96417065906,318.9872172932197,1
9821.537151519833,259.69622565754946,1
7854.247511152858,298.40918826131775,1
7527.049359850626,306.0209892757613,1
9292.874580933843,266.3020007662964,1
8734.578291957752,304.447816188909,1
8448.625617528198,286.3015652950554,1
10627.686049203947,297.4759763257285,1
8559.428470468325,339.8054729950818,1
9600.362664261473,310.459956090415,1
7954.406128735345,299.6730919448503,1
9464.45866863542,291.683673283187,1
8116.381525870165,272.829941264804,1
9552.097176179766,289.7114021726243,1
9549.512052910724,295.6787975999348,1
7746.649976337287,308.4476044084396,1
9723.979297173344,278.1191413793553,1
9623.057919458453,324.7381577038045,1
9342.586296477393,295.39430643145784,1
9087.097591918331,285.91163600529956,1
9022.62690785846,288.17249757829654,1
8536.93934016721,314.73990338036424,1
8040.439040644855,308.7173450502982,1
7635.238395409464,335.51987171013536,1
9295.331165685604,310.2614875767929,1
10501.258741569733,323.4105396589629,1
8698.47731986482,341.5542446450041,1
10465.548865460429,290.8815596157196,1
9002.413947224972,312.98345854509364,1
8939.181227420302,296.50436891097,1
9003.16607519008,320.3452868650234,1
8851.988711282309,288.00033910302267,1
7010.278771821784,331.5233344863841,1
10250.234526945304,264.43023191358554,-1
12342.680403327502,272.95608489758956,-1
13153.035802563643,245.40026788923672,-1
11747.56396347861,290.4997591720829,-1
12981.320786951232,286.2666699941284,-1
